FI,EN
on,is
ei,No
ja,and
se,it
han,he
en,I do not
mita,what
etta,that
ole,be
olen,I am
oli,was
niin,so
mutta,but
sen,its
vain,only
mina,I
jos,if
tama,this
nyt,now
voi,butter
sina,you
olet,are
kun,when
sita,the
kuin,than
he,they
hanen,his
taalla,here
olla,be
et,not
kaikki,all
minun,my
ovat,are
hyva,good
minua,me
sitten,then
onko,whether
miksi,why
sinua,you
miten,how
sinun,your
ala,area
siita,thence
hanet,him
mitaan,anything
kylla,Yes
kiitos,thank you
hei,Hey
mika,What
olisi,should
ne,they
kanssa,with
pitaa,keep
joka,which
ollut,had been
tai,or
hanta,him
tassa,here
tieda,know
minulle,to me
minulla,me
jotain,something
ehka,perhaps
missa,where
tuo,that
minut,me
me,we
oletko,Are you
kuka,Who
hyvin,very
anteeksi,Sorry
viela,yet
taman,this
sinut,thee
sinulle,for you
jo,already
koska,because
haluan,I want
olemme,are
tiedan,I know
tehda,make
tanne,here
meidan,our
emme,we do not
saa,weather
tule,Come
paljon,a lot
siella,there
anna,let
eivat,not
tata,this
pois,off
ennen,before
sinulla,you have
taytyy,must
aina,always
tulee,comes
siina,there
enaa,any more
eiko,not
takaisin,back
herra,Mr.
mista,where from
selva,clear
yksi,one
te,you
juuri,just
nain,thus
halua,desire
pitaisi,should
kuinka,how
vai,or
koko,size
joku,someone
meilla,at our house
olin,I was
kaksi,two
hanelle,him
menna,go
koskaan,ever
tasta,from here
tietaa,know
kai,probably
mies,man
joten,so
aivan,right
voin,butter
ihan,quite
no,Well
siis,therefore
totta,true
isa,father
enta,what
aika,time
siihen,thereto
mene,go
oikein,properly
kuten,like
vahan,little
olette,are
edes,at least
teet,do
aiti,Mum
eika,and not
todella,really
hyvaa,good
voit,you can
aikaa,time
kukaan,anyone
haluat,you want
mukaan,by
kunnossa,okay
minusta,me
itse,self
myos,also
vaan,but
sanoi,said
silla,for
kaiken,all
ettei,lest
noin,about
ulos,out
hanella,on his or her
auttaa,help
taas,again
jalkeen,after
tulla,become
katso,Look
pida,keep
heidan,their
paasta,to be released
puhua,talk
tanaan,today
sinusta,about you
pahoillani,sorry
kerro,tell
tuli,fire
vaikka,although
niita,them
etko,won't you
liian,too
meita,us
kotiin,home
tee,tea
muuta,anything else
nayttaa,show
teidan,yours
vuotta,year
kiinni,Closed
nahda,see
ilman,free
tapahtui,happened
nama,these
sinne,there
mennaan,let's go
heti,immediately
sanoa,say
jotka,that
haluatko,do you want
varmasti,certainly
ette,not
saat,you get
tahan,over here
antaa,give
tiedat,you know
kolme,three
tarvitse,need
haluaa,wishes
kertoa,tell
ota,take
meidat,us
pian,soon
odota,Wait
saada,get
menee,goes
teita,you
nahnyt,perceivedly seen -seen
teen,do
hanesta,from him
luoja,Creator
tehnyt,done
enemman,more
taalta,from here
tekee,doing
sanoin,said
