FI,RU
on,является
ei,Нет
ja,и
se,Это
hän,он
en,я не буду
mitä,Какие
että,который
ole,быть
olen,Я
oli,был
niin,так
mutta,но
sen,это
vain,Только
minä,я
jos,если
tämä,это
nyt,сейчас
voi,масло
sinä,ты
olet,находятся
kun,когда
sitä,а
kuin,чем
he,Они
hänen,его
täällä,здесь
olla,быть
et,нет
kaikki,все
minun,мой
ovat,находятся
hyvä,хороший
minua,мне
sitten,затем
onko,будь то
miksi,Зачем
sinua,ты
miten,как
sinun,ваш
älä,область
siitä,оттуда
hänet,ему
mitään,что-либо
kyllä,Да
kiitos,Спасибо
hei,Привет
mikä,Что
olisi,должен
ne,Они
kanssa,с
pitää,держать
joka,который
ollut,был
tai,или
häntä,ему
tässä,здесь
tiedä,знать
minulle,мне
minulla,мне
jotain,что нибудь
ehkä,возможно
missä,куда
tuo,который
minut,мне
me,мы
oletko,Ты
kuka,Кто
hyvin,очень
anteeksi,Извини
vielä,еще
tämän,это
sinut,Тебе
sinulle,для тебя
jo,уже
koska,так как
haluan,Я хочу
olemme,находятся
tiedän,Я знаю
tehdä,сделать
tänne,здесь
meidän,наш
emme,мы - нет
saa,Погода
tule,Приехать
paljon,много
siellä,там
anna,позволять
eivät,нет
tätä,это
pois,выключенный
ennen,до
sinulla,у тебя есть
täytyy,должен
aina,всегда
tulee,приходит
siinä,там
enää,больше
eikö,нет
takaisin,назад
herra,Мистер.
mistä,откуда
selvä,Чисто
yksi,один
te,ты
juuri,точный
näin,таким образом
halua,желание
pitäisi,должен
kuinka,как
vai,или
koko,размер
joku,кто то
meillä,в нашем доме
olin,Я был
kaksi,два
hänelle,ему
mennä,идти
koskaan,Когда-либо
tästä,отсюда
tietää,знать
kai,вероятно
mies,человек
joten,так
aivan,правильно
voin,масло
ihan,довольно
no,Хорошо
siis,следовательно
totta,истинный
isä,отец
entä,Какие
aika,время
siihen,это
mene,идти
oikein,правильно
kuten,нравиться
vähän,маленький
olette,находятся
edes,по меньшей мере
teet,делать
äiti,Мама
eikä,и нет
todella,В самом деле
hyvää,хороший
voit,вы можете
aikaa,время
kukaan,кто угодно
haluat,вы хотите
mukaan,от
kunnossa,хорошо
minusta,мне
itse,себя
myös,также
vaan,но
sanoi,сказал
sillä,за
kaiken,все
ettei,чтобы
noin,о
ulos,вне
hänellä,на его или ее
auttaa,помощь
taas,очередной раз
jälkeen,после
tulla,становиться
katso,Посмотрите
pidä,держать
heidän,их
päästä,будет выпущен
puhua,разговаривать
tänään,Cегодня
sinusta,о тебе
pahoillani,Извините
kerro,рассказать
tuli,Пожар
vaikka,хотя
niitä,их
